Time (s),X (rad/s),Y (rad/s),Z (rad/s)
8.862418583E0,-1.191312820E-2,9.140276350E-3,-1.799135469E-3
8.872465583E0,-1.401482336E-2,1.182547677E-2,-2.220252296E-3
8.882511583E0,-1.555146836E-2,1.352483965E-2,-3.664484480E-3
8.892557583E0,-1.255473122E-2,1.464758813E-2,-3.059490118E-4
8.902603583E0,-8.966654539E-3,1.513521373E-2,-3.389723133E-4
8.912649583E0,-3.863433842E-3,1.127072424E-2,2.476614201E-3
8.922696583E0,-5.321781617E-3,1.172026619E-2,2.826021053E-3
8.932742583E0,-4.574929830E-3,1.071637962E-2,4.300057422E-3
8.942788583E0,-4.617540631E-3,8.848970756E-3,4.712580703E-3
8.952834583E0,-3.869099542E-3,6.377497222E-3,5.125198513E-3
8.962880583E0,-1.640033908E-3,6.651536562E-3,4.457011353E-3
8.972927583E0,-2.775362693E-3,5.085500889E-3,4.919230938E-3
8.982973583E0,-6.159441080E-3,4.862061702E-3,2.926919842E-3
8.993019583E0,-9.074999020E-3,2.940437756E-3,-1.004980877E-3
9.003065583E0,-9.911764413E-3,1.862390083E-3,-1.612714026E-3
9.013111583E0,-1.113667246E-2,8.134207455E-4,-5.298875272E-3
9.023158583E0,-1.102721784E-2,5.297940806E-4,-6.760152057E-3
9.033204583E0,-1.069862954E-2,2.956271870E-3,-6.454632618E-3
9.043250583E0,-1.028983481E-2,3.370659659E-3,-8.592084982E-3
9.053296583E0,-7.248091511E-3,3.384202719E-3,-7.470872253E-3
9.063342583E0,3.733430058E-4,1.729048323E-3,-6.758210249E-3
9.073388583E0,6.415400188E-3,-6.427160697E-4,-3.488461487E-3
9.083435583E0,5.844152067E-3,7.418613532E-4,-7.390142418E-4
9.093481583E0,8.707048371E-3,-2.721823985E-4,-2.070165472E-3
9.103527583E0,9.062314406E-3,2.742319339E-5,-2.412647707E-3
9.113573583E0,9.300667793E-3,-3.387614270E-4,-2.181485528E-3
9.123619583E0,5.546627101E-3,-2.593053505E-3,-1.819016179E-3
9.133666583E0,7.761071436E-3,-2.300275490E-3,-3.270556685E-3
9.143712583E0,5.219350569E-3,-2.327439608E-3,-8.840982337E-4
9.153758583E0,4.238870926E-3,-4.147412255E-3,-4.220738076E-3
9.163804583E0,5.165384617E-3,-7.411116268E-3,-2.627368784E-3
9.173850583E0,6.219466217E-3,-1.844396815E-3,-3.224611981E-3
9.183897583E0,1.362624951E-2,-9.791002609E-3,4.846388474E-4
9.193943583E0,1.914477721E-2,-9.467898868E-3,9.854999371E-5
9.203989583E0,2.213124558E-2,-1.526187267E-2,4.682382569E-3
9.214035583E0,3.138074279E-2,-1.773707755E-2,7.605888881E-3
9.224081583E0,3.098100051E-2,-1.431464963E-2,8.442920633E-3
9.234128583E0,3.114836849E-2,-2.285980619E-2,1.281734463E-2
9.244174583E0,2.892356366E-2,-2.160279453E-2,1.252386440E-2
9.254220583E0,2.716919407E-2,-1.953844726E-2,1.242600195E-2
9.264266583E0,2.154140174E-2,-1.959623955E-2,1.409180835E-2
9.274312583E0,1.903510280E-2,-1.347398851E-2,1.252597291E-2
9.284359583E0,1.581134647E-2,-1.074771024E-2,1.310041640E-2
9.294405583E0,1.549764909E-2,-1.457120199E-2,1.091976278E-2
9.304451583E0,1.510030590E-2,-1.269926596E-2,1.002493966E-2
9.314497583E0,1.441698894E-2,-7.956248708E-3,8.591881022E-3
9.324543583E0,1.222547330E-2,-5.884576589E-3,6.875739433E-3
9.334590583E0,5.065321922E-3,-6.087501533E-3,5.747833289E-3
9.344636583E0,4.489280283E-3,-4.822766408E-3,3.955791704E-3
9.354682583E0,7.159655914E-3,-6.201209966E-3,3.174628830E-3
9.364728583E0,1.076197019E-3,-1.373431762E-3,1.427062438E-3
9.374774583E0,-1.373184845E-3,-1.459159976E-4,-4.482648801E-4
9.384821583E0,-4.131953232E-3,2.233618405E-3,-2.818744397E-3
9.394867583E0,-5.426564254E-3,1.814953168E-3,-3.040204057E-3
9.404913583E0,-3.623072058E-3,3.289545653E-3,-4.010393284E-3
9.414959583E0,-3.231053706E-3,2.107279841E-3,-3.976734355E-3
9.425005583E0,-1.855531242E-3,3.712633392E-3,-3.853430273E-3
9.435052583E0,6.352979690E-4,2.321302658E-3,-4.383280873E-3
9.445098583E0,1.754890895E-3,8.616239647E-4,-2.805357799E-3
9.455144583E0,2.539482201E-3,9.005144238E-4,-1.752401702E-3
9.465190583E0,5.501183681E-3,-1.338671427E-3,-4.463875666E-4
9.475236250E0,8.492374793E-3,-2.242130693E-3,5.104953889E-4
9.485282250E0,1.170654409E-2,-8.660881780E-3,6.343324203E-4
9.495329250E0,1.897796616E-2,-1.535848901E-2,2.877420047E-3
9.505375250E0,1.776063442E-2,-1.454729028E-2,3.217239399E-3
9.515421250E0,1.778368279E-2,-1.595623046E-2,3.320121206E-3
9.525467250E0,1.698500104E-2,-1.656902395E-2,6.729766261E-3
9.535513250E0,1.534524467E-2,-1.726261713E-2,6.015458144E-3
