"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.758887903717330E9,"2025-09-26 13:58:23.717 UTC+02:00"
"PAUSE",1.853735410000081E2,1.758888089089654E9,"2025-09-26 14:01:29.090 UTC+02:00"
