"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.034429583E-1,-1.343755646E0,2.117796021E0,8.048762512E0
8.134639583E-1,1.181044006E-1,9.885443115E-1,7.372019806E0
8.234849583E-1,5.316943359E-1,2.274220734E0,1.180056061E1
8.335059583E-1,-1.887574768E-1,3.087629242E0,1.244586868E1
8.435269583E-1,-2.604583740E-2,2.445764008E0,1.171074738E1
8.535479584E-1,2.984793091E-1,1.759740601E0,1.054961197E1
8.635689584E-1,3.101550293E-1,1.249601440E0,9.265282745E0
8.735909584E-1,2.896476746E-1,7.485932922E-1,9.386081543E0
8.836119584E-1,4.676275635E-1,4.447251892E-1,9.707612915E0
8.936329584E-1,8.252339172E-1,4.065545654E-1,9.779912567E0
9.036539583E-1,6.686595154E-1,4.938230896E-1,9.634415131E0
9.136749583E-1,6.962022400E-1,3.025209045E-1,9.237440643E0
9.236959583E-1,1.584604797E0,-1.058299255E-1,9.155411224E0
9.337169583E-1,1.980980530E0,1.454974365E-1,9.698032837E0
9.437379583E-1,1.257984009E0,6.400689697E-1,9.999505920E0
9.537589583E-1,3.996688843E-1,9.716294861E-1,9.582622833E0
9.637799583E-1,-1.077758789E-2,1.110091553E0,9.422755280E0
9.738009584E-1,-1.929487610E-1,1.566492462E0,1.082069824E1
9.838219584E-1,2.203417969E-1,1.697021027E0,1.180130905E1
9.938439584E-1,2.133064270E0,9.976753235E-1,1.171389084E1
1.003864958E0,1.910327454E0,1.660796356E0,1.025382706E1
1.013885958E0,1.152004395E0,2.031725006E0,1.059945831E1
1.023906958E0,7.791297913E-1,1.806892548E0,1.017374359E1
1.033927958E0,1.661544800E-1,1.631906433E0,1.022254211E1
1.043948958E0,4.457730103E-1,1.037642212E0,9.267079010E0
1.053969958E0,5.932164001E-1,7.822732544E-1,8.755442963E0
1.063990958E0,2.767744446E-1,1.086889801E0,8.811426544E0
1.074011958E0,1.432521057E-1,1.557511139E0,8.920848999E0
1.084032958E0,6.286926270E-2,1.589095459E0,9.461524658E0
1.094053958E0,-5.188211060E-1,9.172924805E-1,9.827064514E0
1.104074958E0,-6.403683472E-1,6.890171814E-1,9.948911133E0
1.114095958E0,-2.052232361E-1,4.625381470E-1,9.529932404E0
1.124117958E0,8.217910767E-2,2.621049500E-1,8.936266937E0
1.134138958E0,-2.034269714E-1,3.712280273E-1,8.668174438E0
1.144159958E0,-3.706292725E-1,5.372328186E-1,8.728049927E0
1.154180958E0,-2.242337036E-1,6.973997498E-1,8.771759033E0
1.164201958E0,-4.290078735E-1,7.426057434E-1,8.833131409E0
1.174222958E0,-2.207459564E0,2.531236267E-1,9.993668060E0
1.184243958E0,-1.693278809E0,8.928932190E-1,9.784253540E0
1.194264958E0,1.991009674E0,1.752405853E0,9.494605865E0
1.204285958E0,2.596500549E0,1.656305695E0,1.033091675E1
1.214306958E0,1.519939270E0,1.483415222E0,1.049243088E1
1.224327958E0,9.690847778E-1,1.079555054E0,1.036265076E1
1.234348958E0,6.768923950E-1,1.290167084E0,1.054317535E1
1.244370958E0,3.667373657E-1,1.352886658E0,1.059975769E1
1.254391958E0,-6.646179199E-2,1.187031555E0,1.021221359E1
1.264412958E0,-4.345463562E-1,1.210981750E0,9.807455292E0
1.274433333E0,-3.966751099E-1,1.206341400E0,9.523346100E0
1.284454333E0,-6.735992432E-3,7.216493225E-1,9.169631653E0
1.294475333E0,1.311273193E-1,6.066883850E-1,9.107959900E0
1.304496333E0,4.044589233E-1,8.885522461E-1,9.382339325E0
1.314517333E0,9.135502625E-1,1.271905060E0,9.600435791E0
1.324538333E0,1.210532684E0,1.555116119E0,9.737700348E0
1.334559333E0,1.320553894E0,1.555565186E0,9.950408020E0
1.344580333E0,1.201551361E0,1.407073975E0,1.002824615E1
1.354601333E0,1.019978943E0,1.028810577E0,1.020128632E1
