"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.758887966518206E9,"2025-09-26 13:59:26.518 UTC+02:00"
"PAUSE",1.254462122916593E2,1.758888091961990E9,"2025-09-26 14:01:31.962 UTC+02:00"
