"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
3.593527499E-1,9.452889060E-1,1.794053995E-1,-4.622206417E-2,-2.685255798E-1,3.808075514E1,2.134716785E1,5.135758143E-1,-3.161941913E1
3.693717500E-1,9.453062915E-1,1.793798691E-1,-4.669658500E-2,-2.683995396E-1,3.807464789E1,2.135935386E1,4.587032997E-1,-3.161502225E1
3.793907500E-1,9.453286504E-1,1.792463373E-1,-4.704238936E-2,-2.683497010E-1,3.806679221E1,2.135531945E1,4.159919349E-1,-3.161679081E1
3.894097500E-1,9.453231924E-1,1.791150920E-1,-4.741003632E-2,-2.683919953E-1,3.806871000E1,2.135220339E1,3.730268141E-1,-3.162982295E1
3.994287500E-1,9.453142151E-1,1.789352303E-1,-4.776442809E-2,-2.684805459E-1,3.807186415E1,2.134320854E1,3.309692448E-1,-3.164799460E1
4.094477500E-1,9.453184720E-1,1.787087490E-1,-4.807018767E-2,-2.685615942E-1,3.807036855E1,2.132745999E1,2.925157255E-1,-3.166423425E1
4.194667500E-1,9.453407676E-1,1.784635544E-1,-4.836050043E-2,-2.685944266E-1,3.806253424E1,2.130915149E1,2.540690514E-1,-3.167449411E1
4.294857500E-1,9.453831674E-1,1.782090665E-1,-4.855684680E-2,-2.685787480E-1,3.804763144E1,2.128683596E1,2.244100752E-1,-3.167700964E1
4.395057500E-1,9.454470199E-1,1.779239167E-1,-4.858460577E-2,-2.685377391E-1,3.802517774E1,2.125573609E1,2.114351529E-1,-3.167286921E1
4.495247500E-1,9.455378463E-1,1.776035058E-1,-4.843040098E-2,-2.684580394E-1,3.799321662E1,2.121491815E1,2.161559377E-1,-3.166023409E1
4.595437500E-1,9.456554360E-1,1.772599458E-1,-4.812966215E-2,-2.683247711E-1,3.795179923E1,2.116687267E1,2.348168374E-1,-3.163814887E1
4.695627500E-1,9.457877139E-1,1.769067973E-1,-4.772589534E-2,-2.681640020E-1,3.790515629E1,2.111451209E1,2.637298870E-1,-3.161063908E1
4.795817500E-1,9.459253023E-1,1.765536647E-1,-4.719190003E-2,-2.680059302E-1,3.785658205E1,2.105805545E1,3.068108355E-1,-3.158066718E1
4.896007500E-1,9.460188683E-1,1.762944563E-1,-4.682891557E-2,-2.679098354E-1,3.782351516E1,2.101754272E1,3.357530193E-1,-3.156166063E1
4.996197500E-1,9.460586760E-1,1.761959328E-1,-4.661401406E-2,-2.678717136E-1,3.780943839E1,2.099972142E1,3.550429058E-1,-3.155260317E1
5.096387500E-1,9.460560207E-1,1.761928245E-1,-4.659090705E-2,-2.678868443E-1,3.781037750E1,2.099863657E1,3.577722532E-1,-3.155387679E1
