"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.914267500E-1,-1.481918335E-2,3.669918365E0,9.146130524E0
8.014457500E-1,5.837860107E-3,3.603007507E0,9.092541962E0
8.114647500E-1,-5.598358154E-2,3.574866028E0,9.093140717E0
8.214837500E-1,-7.783813477E-2,3.568130035E0,9.150321808E0
8.315027500E-1,-4.251159668E-2,3.564687195E0,9.206754456E0
8.415217500E-1,-5.538482666E-2,3.536845093E0,9.226213989E0
8.515407500E-1,-1.158590698E-1,3.533402252E0,9.280700684E0
8.615597500E-1,-6.661148071E-2,3.516637115E0,9.297166443E0
8.715787500E-1,-2.395019531E-3,3.470532990E0,9.298214264E0
8.815987500E-1,1.287322998E-2,3.442391510E0,9.264085236E0
8.916177500E-1,-3.143463135E-2,3.456162872E0,9.164093170E0
9.016367500E-1,-6.990463257E-2,3.484753418E0,9.056616669E0
9.116557500E-1,-1.023870850E-1,3.575464783E0,8.999734955E0
9.216747500E-1,-4.400848389E-2,3.595074005E0,9.057065735E0
9.316937500E-1,-1.541793823E-2,3.487747192E0,9.104367371E0
9.417127499E-1,-2.993774414E-2,3.515589294E0,9.169481964E0
9.517317500E-1,1.377136230E-2,3.630699921E0,9.326355743E0
9.617507500E-1,8.771759033E-2,3.624862061E0,9.424551544E0
9.717697500E-1,8.337661743E-2,3.614982605E0,9.395811310E0
9.817887500E-1,-1.167572021E-2,3.573668518E0,9.254654846E0
9.918077500E-1,3.891906738E-3,3.409759369E0,9.160500641E0
1.001827750E0,2.194436646E-1,3.354524231E0,9.042994995E0
1.011846750E0,2.808160400E-1,3.348985748E0,8.981323242E0
1.021865750E0,2.811154175E-1,3.450474701E0,9.106612701E0
1.031884750E0,2.609074402E-1,3.526666260E0,9.247619476E0
1.041903750E0,2.230361938E-1,3.660937042E0,9.105714569E0
1.051922750E0,1.213975525E-1,3.463347931E0,9.153614960E0
1.061941750E0,1.856140137E-1,3.642974396E0,9.158554688E0
1.071960750E0,9.999206543E-2,3.714525604E0,9.148824921E0
1.081979750E0,1.112187195E-1,3.527115326E0,9.196725311E0
1.091998625E0,1.314266968E-1,3.700754242E0,9.159602509E0
1.102017625E0,1.070274353E-1,3.748954010E0,9.240135040E0
1.112036625E0,1.922003174E-1,3.745511169E0,9.252858582E0
1.122055625E0,2.146536255E-1,3.825444946E0,9.181906128E0
1.132075625E0,1.784289551E-1,3.795357513E0,9.093739471E0
1.142094625E0,1.490899658E-1,3.678750000E0,9.002579041E0
1.152113625E0,8.637039185E-2,3.627257080E0,8.937464447E0
1.162132625E0,1.347198486E-3,3.581003265E0,8.988957367E0
1.172151625E0,5.029541016E-2,3.627855835E0,9.070088654E0
1.182170625E0,1.040336609E-1,3.773652649E0,9.185947723E0
1.192189625E0,8.352630615E-2,3.860472107E0,9.267378387E0
1.202208625E0,8.891510010E-2,3.834575958E0,9.270970917E0
1.212227625E0,1.101708984E-1,3.750600586E0,9.281299438E0
1.222246625E0,1.227447510E-1,3.699407043E0,9.236542511E0
1.232265625E0,1.347198486E-1,3.690874786E0,9.185947723E0
1.242284625E0,1.749861145E-1,3.667074280E0,9.175020447E0
1.252304625E0,1.788780212E-1,3.640878754E0,9.160051575E0
1.262323625E0,1.664538574E-1,3.693569183E0,9.104666748E0
1.272342625E0,2.246827698E-1,3.682791595E0,9.025780792E0
1.282361625E0,2.559677124E-1,3.684138794E0,8.992549896E0
1.292380625E0,2.655477905E-1,3.694617004E0,8.979526978E0
1.302399625E0,2.454895020E-1,3.671415253E0,9.008416901E0
1.312418625E0,2.601589966E-1,3.678899689E0,9.098080444E0
1.322437625E0,2.818638611E-1,3.702700195E0,9.205856323E0
1.332456625E0,2.433938599E-1,3.740421753E0,9.262887726E0
1.342475625E0,2.237846375E-1,3.715274048E0,9.256301422E0
1.352494625E0,2.180964661E-1,3.686533813E0,9.249565430E0
1.362513625E0,1.938468933E-1,3.684737549E0,9.225764923E0
1.372533625E0,1.981878662E-1,3.678899689E0,9.180708618E0
1.382552625E0,1.939965820E-1,3.654949493E0,9.127569122E0
1.392571625E0,2.101629639E-1,3.617078247E0,9.084907837E0
1.402590625E0,2.073188782E-1,3.651806030E0,9.061556396E0
1.412609625E0,1.769320679E-1,3.671714630E0,9.094188538E0
1.422628625E0,1.543290710E-1,3.688779144E0,9.160949707E0
1.432647625E0,1.284329224E-1,3.689677277E0,9.188492432E0
1.442666625E0,1.160087585E-1,3.708687744E0,9.220675507E0
1.452685625E0,8.442443848E-2,3.742816772E0,9.202563171E0
1.462704625E0,6.691085815E-2,3.705544281E0,9.138496399E0
1.472723625E0,5.987548828E-2,3.669618988E0,9.091643829E0
1.482742625E0,7.349716187E-2,3.661984863E0,9.094188538E0
1.492761625E0,9.759704590E-2,3.659440155E0,9.117390289E0
1.502781625E0,1.184037781E-1,3.710484009E0,9.064250793E0
1.512800625E0,8.322692871E-2,3.754791870E0,9.073980560E0
1.522819625E0,5.388793945E-2,3.714375916E0,9.108259277E0
1.532838625E0,3.637435913E-2,3.732188873E0,9.107810211E0
1.542857625E0,1.661544800E-2,3.738326111E0,9.123826904E0
1.552876625E0,6.092330933E-2,3.709286499E0,9.142987061E0
1.562895625E0,9.595046997E-2,3.719165955E0,9.200018463E0
1.572914625E0,1.365161133E-1,3.730542297E0,9.228459320E0
1.582933625E0,1.589694214E-1,3.714974670E0,9.232650604E0
1.592952625E0,1.654060364E-1,3.653302917E0,9.218579865E0
1.602971625E0,1.513352966E-1,3.627855835E0,9.181457062E0
1.612991625E0,1.516346741E-1,3.575015717E0,9.151968384E0
1.623010625E0,1.681004333E-1,3.546275482E0,9.075627136E0
1.633029625E0,1.767823792E-1,3.588038635E0,9.021140442E0
1.643048625E0,1.793270874E-1,3.594475250E0,9.011859741E0
1.653067625E0,1.411564636E-1,3.635340271E0,8.988508301E0
1.663086625E0,1.197509766E-1,3.673510895E0,9.045839081E0
1.673105625E0,1.354682922E-1,3.714974670E0,9.138197021E0
1.683124625E0,1.194515991E-1,3.732637939E0,9.240733795E0
1.693143625E0,1.136137390E-1,3.697311401E0,9.326804810E0
1.703162625E0,1.266366577E-1,3.675456848E0,9.379644928E0
1.713181625E0,1.124162292E-1,3.625311127E0,9.400451660E0
1.723200625E0,8.861572266E-2,3.582051086E0,9.339827728E0
1.733219625E0,8.187973022E-2,3.560645599E0,9.237440643E0
1.743239625E0,8.262817383E-2,3.544778595E0,9.103618927E0
