Time,Vel_x,Vel_y,Vel_z,Pos_x,Pos_y,Pos_z
8.004723083,0.0,0.0,0.0,0.0,0.0,0.0
8.014770083,0.00040794903360964497,-0.0013762055048158715,3.334947793497532e-05,0.007075019783414628,-0.004195842210122906,0.0006414320781246346
8.024816083,0.0011283533883491665,-0.0023924666979623856,0.00014813700452191136,0.014155003093623558,-0.008403284159068818,0.0012835444052778863
8.034862083,0.0020103725901840664,-0.0027495232227004235,0.0005902466371806815,0.021243035377358416,-0.012617624282912406,0.001928454026862143
8.044908083,0.002704584216875669,-0.00232995643070959,0.0017676634237041384,0.028338985068543706,-0.01683165041768284,0.0025814985296498372
8.054954083,0.0029257068271204235,-0.0017938687207093068,0.0031398063852396954,0.03543953248360238,-0.021040876299890515,0.0032473494710521483
8.065001083,0.0029539542397889495,-0.0016652705752716042,0.0040221713043892895,0.0425420394124163,-0.025247182127913343,0.003924592212998229
8.075047083,0.002742920313670992,-0.0017550983465883013,0.004575525413478664,0.04964292127644176,-0.0294528745494792,0.0046089791641639455
8.085093083,0.002296018194753839,-0.0021362297051170367,0.00506991278371288,0.05674049832771425,-0.033660932598755015,0.005298628920780427
8.095139083,0.0015951769597215434,-0.0030273915940202097,0.0055384999468747614,0.06383231026411862,-0.037875381377011935,0.005993115698478036
8.105185083,0.0006576091267554147,-0.004169511354929588,0.0057508419764500706,0.07091589247177567,-0.04210004332899661,0.006691022783510885
8.115232083,-9.86304940978136e-05,-0.005446701094066461,0.005623332066651079,0.07799167095238112,-0.046337279214003615,0.007389425493838633
8.125278083,-0.0005979455280550796,-0.007019590118276714,0.005398302444619037,0.0850604385141653,-0.05058840930323456,0.008085987884540609
8.135324083,-0.0012459240367638739,-0.008267105754641589,0.0052073881908524106,0.09212344322048588,-0.05485370628507633,0.008780460989154571
8.145370083,-0.0019633241577166273,-0.009211029008838734,0.004952248643400347,0.09917958962994844,-0.05913001086446465,0.00947269356552489
8.155416083,-0.002698706395377031,-0.010034812452739444,0.004762383834085864,0.10622843871362495,-0.06341519463459827,0.010162690885011292
8.165463083,-0.0035010796151936194,-0.01078259993051783,0.004602309823044635,0.1132702645400451,-0.06770869974747501,0.010850998970620114
8.175509083,-0.004332943037365613,-0.01164594916573183,0.004375062648549664,0.12030318070740476,-0.07200987025805683,0.0115372930330968
8.185555083,-0.00513848144541633,-0.012603971100963809,0.004008933852559925,0.12732787220537242,-0.07632018951602855,0.01222060656807386
8.195601083,-0.005942490352939022,-0.01348348779819734,0.003588431780325537,0.13434447894717272,-0.0806397387305504,0.012899968856199713
8.205647083,-0.006838108375416654,-0.014166670044039936,0.0033382757930454704,0.14135254846290485,-0.08496713738186405,0.013575962428892741
8.215694083,-0.007817622538156339,-0.014539551379716298,0.003156499807951175,0.1483518958501048,-0.08930027192695575,0.014249853481146576
8.225740083,-0.008870643833846554,-0.014517922891135513,0.0029047387486309945,0.15534033715126172,-0.09363473952868959,0.014921499802968159
8.235786083,-0.009964335368837724,-0.014424072624520924,0.00264885205270814,0.16231799551387127,-0.09796862708063685,0.01559059621011527
8.245832083,-0.011034419811834232,-0.014412586827221142,0.0024709024601246576,0.1692847852297422,-0.10230198552953429,0.0162575134575851
8.255878083,-0.012017492877839783,-0.01438362568756756,0.0024040155047391643,0.17624126193544667,-0.1066351408134682,0.016923200891074595
8.265925083,-0.012972333794290044,-0.014293051558697532,0.002397538003024246,0.18318869599260348,-0.11096812694338425,0.017588586042143074
8.275971083,-0.013928486351652156,-0.014216715526866989,0.0024116046919234273,0.1901258396361539,-0.1152998434119264,0.018253943086451667
8.286017083,-0.014928318907521037,-0.014243181221207175,0.002431682689911538,0.19705315836648174,-0.11963130938176408,0.018919471639522612
8.296063083,-0.015955898949029407,-0.014315845445413346,0.002359185838980748,0.2039702934033317,-0.12396327328118187,0.019584736892695104
8.306109083,-0.01686257961622529,-0.014217482041074305,0.002261882311181474,0.2108777126486431,-0.1282951080936186,0.020249149238565356
8.316156083,-0.01781741236347556,-0.013937368292941283,0.002245200667320861,0.21777646816037616,-0.13262547282604023,0.020913055116929972
8.326202083,-0.01881116533539542,-0.013855813997541058,0.002346534216117131,0.22466474927773938,-0.13695358988915743,0.02157732012180147
8.336248083,-0.019641532675623713,-0.01406877664366973,0.002412654587153731,0.23154386783877345,-0.14128236701641958,0.022242426247712166
8.346294083,-0.020431610227989085,-0.014470551990601294,0.0023983467570285544,0.2384148469051133,-0.14561423197262163,0.02290779262801598
8.356340083,-0.021142589040740727,-0.014967888396763161,0.0023843285092620507,0.2452782861653299,-0.14995061316715871,0.023573016726430425
8.366387083,-0.021778374749318662,-0.015495315237970805,0.0024205261793519253,0.25213564315517484,-0.15429257391238727,0.024238418460980904
8.376433083,-0.022458882707436435,-0.01627076877099851,0.0024652056190723917,0.2589857058741142,-0.15864064686083643,0.02490416021235638
8.386479083,-0.023008941027839402,-0.017215550575669893,0.002376894023130848,0.2658295874586354,-0.1629973605513861,0.025569682799411034
8.396525083,-0.023504770851913714,-0.017909150977050616,0.0022917022663618,0.27266821554700804,-0.1673623038357575,0.026234333879125146
8.406571083,-0.024100767634201915,-0.018352251881345576,0.0023957700881153876,0.2795013593903357,-0.17173295677078657,0.026899079773313548
8.416618083,-0.024720289852733147,-0.018819394954191916,0.002474870026590182,0.28632907725949447,-0.17610861738043437,0.027564811980952005
8.426664083,-0.02537897788104583,-0.01954221421126344,0.002501523691313938,0.29314969510081235,-0.1804898196517446,0.028231009127149025
8.436710083,-0.025948743783217022,-0.02062672415885771,0.002381469236137291,0.29996414241803615,-0.18488010013764902,0.028896737121175475
8.446756083,-0.0264263077880883,-0.021745604857053465,0.002177434130688214,0.30677332899713816,-0.18928144825476806,0.029560837213339027
8.456802083,-0.02699015025441867,-0.022633936944403743,0.0021333743094226537,0.3135772845915341,-0.19369287860170814,0.030223691124685575
8.466849083,-0.027700062981582604,-0.023173058573999625,0.0023546463141014746,0.3203755187567873,-0.19811191888546428,0.030887501243310078
8.476895583,-0.02867714782975648,-0.023131048150437962,0.002930053060242681,0.32716494038987315,-0.2025332363646882,0.031555280243229296
8.486941583,-0.029796314344339544,-0.02267995574440867,0.003411697473059452,0.3339434946525173,-0.20695185694572416,0.032228335576710065
8.496987583,-0.030731883753513666,-0.022362388376545736,0.0037348459990271237,0.3407117279766153,-0.21136661654871505,0.03290543338512222
8.507033583,-0.031448061010060896,-0.022620363133160543,0.004074965973521577,0.3474716645772125,-0.21578107681802045,0.033585862791212326
8.517080583,-0.03224327232066683,-0.023151723700313667,0.0046220878606841155,0.35422468161566983,-0.22019994173799784,0.03427081698817069
8.527126583,-0.0325943611439742,-0.02380421406421987,0.004783333148858881,0.36097126864592044,-0.22462431332186042,0.03495926113845348
8.537172583,-0.03273565031635608,-0.024305392220175415,0.004569718681358364,0.3677153824614999,-0.22905447978269908,0.03564744223834865
8.547218583,-0.03334038413861444,-0.024415622908680035,0.004752497798108496,0.374455749003576,-0.23348771735016263,0.03633546845227688
8.557264583,-0.03396001751717199,-0.024308586048349023,0.005096740138053805,0.3811899655492036,-0.2379209709602259,0.03702614189498221
8.567311583,-0.034543056222068096,-0.02392447153345494,0.005454571500644781,0.38791881080971885,-0.2423521985667576,0.037720410956021445
