Time,q_w,q_x,q_y,q_z,yaw_deg,pitch_deg,roll_deg
8.004723083,0.192348094096792,0.257660573313041,0.933844177627533,0.156678944241028,-152.045639361377,26.1030050297394,-167.556023835548
8.014770083,0.19235762607682,0.257415288295452,0.933907495452626,0.156693021475953,-152.077432276355,26.1012534786256,-167.547354105665
8.024816083,0.192344901874253,0.257185934275571,0.933968399974551,0.156722244058597,-152.107569686706,26.0976051700493,-167.536742207171
8.034862083,0.192309707406194,0.256973325289552,0.934027299067951,0.156763168897553,-152.135854592129,26.0919465065749,-167.524627588501
8.044908083,0.192268988016121,0.256758162929379,0.934086249732739,0.156814412847209,-152.164732119246,26.0859151439321,-167.511044978201
8.054954083,0.192239596124027,0.25651334765172,0.934147082846498,0.15688871141021,-152.198021783503,26.0814379002726,-167.494077507373
8.065001083,0.192221288459094,0.256240830429146,0.93420972669116,0.156983437469483,-152.235403894522,26.0784342738515,-167.474094792171
8.075047083,0.192214543143548,0.255961240150397,0.934271030930682,0.157082951680021,-152.273823785256,26.0767837518108,-167.453615866443
8.085093083,0.192223972822747,0.255666080819195,0.934332162022253,0.15718845505194,-152.314405959272,26.076933002185,-167.43235994541
8.095139083,0.192239724449346,0.255360761723406,0.934394206392622,0.157296652143595,-152.35636289732,26.0777343633299,-167.410636447693
8.105185083,0.192265780401106,0.255057413097649,0.934453176477632,0.157406628454946,-152.398122904929,26.0797780757265,-167.389010784476
8.115232083,0.192290597596463,0.254761056238603,0.93451139957579,0.157510553180048,-152.438824745799,26.0815914957634,-167.368293351735
8.125278083,0.192301742285014,0.254486491149468,0.934569051264698,0.157598712414734,-152.476303312412,26.0816795021449,-167.3497910698
8.135324083,0.192308727423271,0.254226578772185,0.934624725091649,0.157679495337825,-152.511704469021,26.0812725068651,-167.332512259752
8.145370083,0.192323575748766,0.253992387656688,0.934672806015948,0.157753779409361,-152.543649855466,26.0819187377977,-167.316973802433
8.155416083,0.192341652933976,0.253796382362374,0.934712237515523,0.157813554186963,-152.570328151293,26.083032629508,-167.30440073916
8.165463083,0.192360807323982,0.253641458683787,0.934743559204951,0.157853757533,-152.591232530667,26.0842672882,-167.295441376647
8.175509083,0.192384922999757,0.253534339241563,0.934765243914312,0.157868042990144,-152.605339444324,26.0859803314372,-167.291162714092
8.185555083,0.192413686591717,0.25348370646107,0.934775406525012,0.157854119765503,-152.611477493802,26.0881901848879,-167.292090736494
8.195601083,0.192440459695686,0.253482291143173,0.934774782846768,0.157827446607676,-152.610979892183,26.0904769177578,-167.295964331898
8.205647083,0.192466549874139,0.253513049939227,0.934765448680316,0.157801510270165,-152.606386652119,26.093139985513,-167.300673448974
8.215694083,0.192491461943304,0.253555457435949,0.934753888717532,0.157771463233466,-152.600192407148,26.0957091775589,-167.306195896217
8.225740083,0.19251630177176,0.253602508944605,0.934741122083589,0.157741166773421,-152.593397025002,26.0983251721598,-167.311883395962
8.235786083,0.192537956077122,0.253645265421994,0.934729064278438,0.157717440988012,-152.587321842553,26.1007044729548,-167.316565506248
8.245832083,0.192559255635142,0.253676566185352,0.934718266697294,0.157705087869906,-152.583014119539,26.1032097720212,-167.319517285584
8.255878083,0.192568512259413,0.253692371442962,0.934712384832772,0.157703222535479,-152.580953682118,26.104427025433,-167.320437707478
8.265925083,0.192573786167878,0.253692918049538,0.93471105574301,0.157703780817922,-152.580904733515,26.1050524965046,-167.320516685215
8.275971083,0.192573341747825,0.253678960760143,0.934714030209331,0.157709145725794,-152.5828323158,26.1049653708386,-167.319442713156
8.286017083,0.192570381888161,0.253658895205776,0.93471824122798,0.157720076141579,-152.585686571585,26.1046657925544,-167.317448891036
8.296063083,0.192569067934388,0.253637333828689,0.934723414201495,0.157725698307712,-152.588592474146,26.1043841997105,-167.316099163628
8.306109083,0.19256850914426,0.253606169775438,0.934730618111412,0.157733799494109,-152.592793409414,26.1041295026675,-167.314184651101
8.316156083,0.192560435842326,0.253567130964993,0.934740970930093,0.157745066189288,-152.598076987666,26.1029997047311,-167.311467068214
8.326202083,0.192558096845672,0.253524657278017,0.934751169965765,0.157755753425572,-152.60379097046,26.1024620999937,-167.30886188515
8.336248083,0.192558276010871,0.253483113496517,0.934761246873289,0.157762583826862,-152.60928606423,26.1021157116442,-167.306816601163
8.346294083,0.192557466515587,0.253440629171509,0.934772923042891,0.15776264424793,-152.614719661734,26.1014527401838,-167.305544536322
8.356340083,0.192558911703926,0.253407053622598,0.934781334020538,0.15776497794028,-152.619077220216,26.1012313375165,-167.304312292907
8.366387083,0.192562739394636,0.253382153430375,0.934787327787024,0.157764785451681,-152.622260831887,26.101327689308,-167.303701199098
8.376433083,0.192573293430926,0.253376590632318,0.934788751939695,0.157752398472218,-152.622654450785,26.1021091260042,-167.305309834603
8.386479083,0.192594752520224,0.25339260980957,0.934783946876495,0.157728942358628,-152.620005878669,26.1041148201143,-167.309170467119
8.396525083,0.192624834176172,0.253434224600091,0.934773226895147,0.157688875130704,-152.61365088307,26.1069814900866,-167.316020052607
8.406571083,0.192662041371495,0.253493190619889,0.934759027073005,0.157632805689193,-152.604657572644,26.1104435812303,-167.325506181554
8.416618083,0.192720481039501,0.253565770849722,0.934737893427752,0.157569942030637,-152.593764729872,26.1163210475507,-167.336747761092
8.426664083,0.192798902855936,0.253660901507943,0.934706263646498,0.157508510258109,-152.580045610468,26.124822545196,-167.34897457947
8.436710083,0.192885922408665,0.2537786879225,0.934665931478534,0.157451564064182,-152.563553668783,26.1347346192635,-167.361536403143
8.446756083,0.192986002182634,0.253918364921531,0.934615940868213,0.157400476467406,-152.544426603105,26.1465949013211,-167.374356218993
8.456802083,0.193100399447845,0.254085681171901,0.934555455549223,0.157349302062888,-152.521769138139,26.1604552691605,-167.388361381746
8.466849083,0.193229347830023,0.25427361956547,0.934488204306084,0.157286812997941,-152.496176374502,26.1759294968639,-167.404723306938
8.476895583,0.193364521252677,0.254457245406152,0.934420783876762,0.157224269246748,-152.471130037205,26.1920508509845,-167.42113013152
8.486941583,0.193500613488326,0.254628043872596,0.934353963422734,0.157177424872293,-152.448136675741,26.2085467371783,-167.435277733768
8.496987583,0.19364114754036,0.254782384777421,0.934289103800455,0.157139787788217,-152.427491875819,26.2255885381031,-167.447937869792
8.507033583,0.193782136421937,0.254929967506973,0.934225604448389,0.157104154189781,-152.407758090891,26.2426465942842,-167.460174050121
8.517080583,0.193952599612437,0.255091886835916,0.934150096964841,0.157079962804451,-152.38651017968,26.2635849154995,-167.472187407302
8.527126583,0.194093484464059,0.255245933570505,0.934083639590776,0.157050905547121,-152.366106963698,26.2808994503416,-167.483827360483
8.537172583,0.194175161817505,0.255383571582394,0.934033560636831,0.157024028425746,-152.347812274657,26.291292971342,-167.493232560667
8.547218583,0.194237583095445,0.255510461684859,0.933989091614082,0.157004910842724,-152.33108492269,26.2995635667673,-167.500892148564
8.557264583,0.194289736832211,0.255629002538306,0.933947048207258,0.156997523445086,-152.315732317449,26.3068836143526,-167.506617997956
8.567311583,0.194336745228545,0.255733699003934,0.933908399330859,0.156998746195676,-152.302379595458,26.3136770159563,-167.510756229388
8.577357583,0.194373129497828,0.255805490186049,0.933880033942521,0.157005477367546,-152.29338370421,26.3189771881869,-167.512981172065
8.587403583,0.194396807021188,0.255843809390269,0.933861277576949,0.157025287323386,-152.289020408491,26.3227550842887,-167.512298993303
8.597449583,0.194403849042301,0.25586289481024,0.93385061106482,0.157048905601803,-152.287213441497,26.3244864918729,-167.51016219492
8.607495583,0.194407136022785,0.255874782271448,0.933844466365859,0.157062006541433,-152.286043948938,26.3253934745167,-167.50899984282
8.617542583,0.194401613822487,0.255879022282208,0.933842592696461,0.157073073965799,-152.285794057635,26.3251347997535,-167.507636232788
8.627588583,0.194381585822993,0.255880950745321,0.933842782371665,0.157093589783147,-152.286084330955,26.3234582272344,-167.504685304815
8.637634583,0.194352857242797,0.255884280774597,0.933842487409678,0.157125460834757,-152.286493853843,26.3211305223565,-167.500171318914
8.647680583,0.194316319452251,0.255887717452695,0.933843032665212,0.157161809591328,-152.287004215765,26.318040084368,-167.494917249369
8.657726583,0.194279411542303,0.255882920205321,0.933845588336757,0.157200058975655,-152.288620366095,26.3148522051378,-167.489178288658
8.667773583,0.194248137014878,0.255870432235643,0.933850693617379,0.157228703499505,-152.29096788771,26.3119314053431,-167.484525353583
8.677819583,0.194225763544039,0.255853227344394,0.933857128349239,0.157246121301945,-152.293624598483,26.3096441337142,-167.481326788371
8.687865583,0.194213660298836,0.255827781302182,0.93386536119581,0.157253577466302,-152.297077369968,26.3081360178531,-167.479358425481
8.697911583,0.194213617602068,0.255799426089684,0.933873928993945,0.157248876293343,-152.300585292131,26.3076199095572,-167.479091012572
8.707957583,0.194223059107518,0.255771221849405,0.93388270753739,0.15723095734369,-152.303725843437,26.3078121597455,-167.48067935525
8.718004583,0.194238355882509,0.2557522486199,0.933888286304553,0.157209787014264,-152.305600244005,26.3087033367069,-167.483085290048
8.728050583,0.194259692898997,0.255741923611675,0.933890664090957,0.157186092724324,-152.3063027976,26.3103275225235,-167.48620754099
8.738096583,0.194280814236892,0.255736639706,0.933891534575593,0.15716341170698,-152.306386178665,26.3120230295566,-167.489350095054
8.748142583,0.194300047557937,0.255730805276674,0.93389133918711,0.157150289031972,-152.306795406217,26.3137681402948,-167.491263043047
8.758188583,0.194316328854242,0.255718487513961,0.933892413567134,0.15714381746011,-152.308212103637,26.3152795922755,-167.492098306519
8.768235583,0.194330546118893,0.255703512103272,0.933893958530622,0.157141423447764,-152.310077487905,26.3166362592781,-167.492305430241
8.778281583,0.194340279510619,0.255689976742572,0.933895480578337,0.157142365097621,-152.311844689673,26.3175950163347,-167.492035213222
8.788327583,0.194344223739264,0.255675027767174,0.933898628650598,0.157143101280232,-152.313783374483,26.3178678851104,-167.491602079813
8.798373583,0.194347435664624,0.255658590323409,0.93390211476245,0.157145154193998,-152.315947689787,26.3180748554035,-167.490945773331
8.808419583,0.19434519512876,0.2556449940281,0.93390414409834,0.15715798355376,-152.318033462941,26.3180039179738,-167.488921776384
8.818466583,0.194336672266792,0.255633002302995,0.933906193949064,0.157175846902123,-152.320044228887,26.3173801349871,-167.486172915967
