Time,Accel_x_cart,Accel_y_cart,Accel_z_cart
8.004723083,0.09399776138861518,-0.043989440393161224,9.829384270425672
8.014770083,0.15405678460376973,-0.0005755766251582719,9.833467732114807
8.024816083,0.09574208884239044,0.05035353404718682,9.84558495095997
8.034862083,0.09304946495435433,0.11932026322464943,9.898642009424602
8.044908083,-0.0338184987830067,0.14273206911943556,9.991998942840436
8.054954083,0.00638606683581656,0.07574559132390701,9.937416447297485
8.065001083,-0.009825279720386305,0.05757532881998551,9.894458504761698
8.075047083,-0.0009355996552180336,0.01362363655982872,9.871930814651986
8.085093083,-0.0067219235652661935,-0.014684001206260617,9.882728827671318
8.095139083,0.028141669654791174,-0.09372886793442284,9.866831583792841
8.105185083,-0.008437253879841117,-0.08046596988556243,9.83176148921687
8.115232083,0.07463750031363343,-0.08786473603389462,9.799173486748039
8.125278083,0.07011249154409183,-0.0896047797960931,9.81233333646144
8.135324083,0.01118527630197984,-0.05602958092775428,9.805983027351438
8.145370083,0.021475102516691064,-0.05092996365265596,9.79954931592127
8.155416083,-0.005818672665135666,-0.03853156324201169,9.818981594749422
8.165463083,0.0027468525666042736,-0.04683870722184274,9.805499171761287
8.175509083,0.005929492920630366,-0.059241340300409284,9.805624283371351
8.185555083,0.020371928304689327,-0.0578383473608292,9.777846780733423
8.195601083,-0.0026445962300844323,-0.04766312787200147,9.794791942994793
8.205647083,-0.01779929279909396,-0.04044505999862287,9.811775795075906
8.215694083,-0.05457781683265361,-0.012002931233807308,9.808425281844215
8.225740083,-0.07915021378747567,0.009182786754773277,9.797856139651646
8.235786083,-0.06941850792006211,-0.0068539042202677095,9.807618918963456
8.245832083,-0.06440284936688592,-0.0005101849103382277,9.813369307140732
8.255878083,-0.05822256178650596,0.007003593549034476,9.829704848806315
8.265925083,-0.06805120440777672,0.012464663456684481,9.825387442046488
8.275971083,-0.05667649579988253,0.004625213646740263,9.833794698103873
8.286017083,-0.06159925029638971,-0.00872324792355911,9.826596105856702
8.296063083,-0.05513013161843693,-0.0059694766718602745,9.815371838028927
8.306109083,-0.06547109196122711,0.032751702294085486,9.82162017597311
8.316156083,-0.08603385657225952,0.015325014062041956,9.83143531593776
8.326202083,-0.04587304459515972,-0.002373028918760168,9.845126229595708
8.336248083,-0.02322325532300943,-0.008238311417342912,9.824377491095483
8.346294083,-0.015266733166728724,-0.0260153791142527,9.82910268647068
8.356340083,0.0012583292165086828,-0.012781125085456651,9.824411519848937
