Time,Accel_x_earth,Accel_y_earth,Accel_z_earth
8.004723083,0.042233636526355284,-0.09479963057910215,9.829384270425669
8.014770083,0.11546198683989435,-0.10034724743771646,9.833484653073938
8.024816083,0.10444664174120782,-0.023167670613038555,9.84559796104857
8.034862083,0.14763695142186473,0.03088999492911573,9.898649316834994
8.044908083,0.06705711851939644,0.13144577090176876,9.991986006811029
8.054954083,0.05345239708244022,0.05408747014499588,9.937416224064116
8.065001083,0.02865815194497913,0.05031848357971128,9.894461446566895
8.075047083,0.005815819885662922,0.010604866701188119,9.871932850315414
8.085093083,-0.018299481500997167,-0.007675461714335611,9.882722099791014
8.095139083,-0.044739449100051364,-0.09093415985157915,9.866796436404952
8.105185083,-0.06542800985729619,-0.05763721206393264,9.831707739132716
8.115232083,-0.008624879658480284,-0.11779915223157683,9.799139807292349
8.125278083,-0.014293365878851832,-0.11653157928996985,9.812290577361912
8.135324083,-0.03822143047500989,-0.0530224475041978,9.805931638521784
8.145370083,-0.02811411289140987,-0.0560911289281269,9.799504335338126
8.155416083,-0.04180138602100266,-0.029104507966751392,9.818926808368017
8.165463083,-0.041435060569196144,-0.040946714224950324,9.805438384868589
8.175509083,-0.04768831899456575,-0.052125847080328,9.805550520099645
8.185555083,-0.03619416586057196,-0.059794554164791215,9.777789246605654
8.195601083,-0.0473838195862668,-0.036496693586740826,9.794725659210787
8.205647083,-0.054432094380339635,-0.02070746449903956,9.811702462802026
8.215694083,-0.06406680725576192,0.02528670754114336,9.808342640048776
8.225740083,-0.06908561342252127,0.05782582448323433,9.797765937460722
8.235786083,-0.07216360982410121,0.039664923355157304,9.807521290934178
8.245832083,-0.06438581410050788,0.04142835896167447,9.813281984313067
8.255878083,-0.05484101834666975,0.04314398812796178,9.829632108612461
8.265925083,-0.058746318386590925,0.053692737654538664,9.825308681185566
8.275971083,-0.05512106579395933,0.040311202542199075,9.833722004271252
8.286017083,-0.06744231649660459,0.033226536943662115,9.826505437922362
8.296063083,-0.06064515212477113,0.03111380459953569,9.815291813365635
8.306109083,-0.043373159755083754,0.06727543770918328,9.821566820190235
8.316156083,-0.07021255078133833,0.06729187815255304,9.83134268820126
8.326202083,-0.05114048232566559,0.02775093593820573,9.845061451346156
8.336248083,-0.03768505094231692,0.008658204744448136,9.824332300433065
8.346294083,-0.043119421632242014,-0.009838691934148405,9.829049466245264
8.356340083,-0.021937740646956732,-0.010366493489751598,9.824389951708929
8.366387083,-0.028137063415392783,-0.015818771387181317,9.839045945445479
8.376433083,-0.03085383276108015,-0.059755143255457825,9.826079255404784
8.386479083,-0.0021666000041446767,-0.04952935702202625,9.812569529824932
8.396525083,-0.020057795267799484,-0.009748891356034435,9.82670036612995
8.406571083,-0.022108260010911686,0.00034113811746360677,9.850248123996272
8.416618083,-0.024729062206767148,-0.01452605097661915,9.82172808735838
8.426664083,-0.029917830424993977,-0.05056921028035811,9.839808466269764
8.436710083,-0.007026070739240774,-0.08653295731205865,9.792520816822762
8.446756083,-0.011561888298773429,-0.05741188410103897,9.823089244634804
8.456802083,-0.024202750305074804,-0.04063436865084143,9.824369370313404
8.466849083,-0.040628104038154214,0.012121087771472316,9.875908237717674
8.476895583,-0.07739688768571197,0.07504874948521975,9.894870689839003
8.486941583,-0.06892400181452221,0.09356326839391979,9.857247338623495
8.496987583,-0.04084560251574115,0.048466022396568,9.86331666100185
8.507033583,-0.02524648785333646,-0.021018082288489285,9.860626086090493
8.517080583,-0.05656427759609273,-0.005950247373052597,9.904516632418085
8.527126583,0.06315553049593133,-0.045143641563557824,9.783814988590315
8.537172583,-0.014796479283224355,0.024173624406910735,9.829887973115818
8.547218583,-0.02910898271859282,0.032687827170439374,9.862730693199245
8.557264583,-0.01776274571744206,0.0674281632951513,9.862032751773022
8.567311583,-0.02181200784588743,0.08784200252398826,9.865428962540957
8.577357583,-0.021628658496390167,0.09290701942555168,9.850754309621886
8.587403583,-0.02582631813689735,0.06644201376898624,9.851836034667071
8.597449583,-0.019156851508786547,0.029375159232893848,9.816787341312514
8.607495583,-0.027437588104775833,0.00971190944455679,9.811777253221868
8.617542583,-0.03440887878685869,0.01635555836184762,9.805983198767406
8.627588583,-0.025329944813086112,-0.011399866383304796,9.802865382250049
8.637634583,-0.014077613563308805,-0.010540739387515301,9.791796951648267
8.647680583,-0.03948186591736881,0.025512513100184302,9.810465682643366
