Time,Vel_mag,Accel_mag,TurnRadius
18.00065421,15.728971342825922,29.556600158971293,8.370399104524402
18.01070021,15.636729491693751,30.03006384796365,8.142084227136442
18.02074621,15.550370259255416,29.12188916794644,8.303514027039585
18.03079321,15.461565605647019,29.65258585249808,8.062029131856885
18.04083921,15.350044883685051,33.63926576217703,7.004429870644619
18.05088521,15.233207156017352,29.788782862420582,7.789865108952702
18.06093121,15.136538131291047,28.273687868590535,8.103463109053887
18.07097721,15.061527140203637,24.47896556587854,9.267123612089987
18.08102321,15.00081450961799,28.187697256963027,7.983072682405062
18.09106921,14.953191855970944,33.1373765261651,6.747605577795937
18.10111521,14.92760628997495,33.32892793242293,6.685886506770104
18.11116121,14.926530177022839,30.115537134978105,7.398217807870272
18.12120821,14.913922568837124,32.18161677887321,6.911557238332672
18.13125421,14.90240779851961,24.380194543284368,9.109105253409533
18.14130021,14.885494162377162,32.14250846195291,6.893610581776666
18.15134621,14.82134055074423,32.40878884064064,6.778165540258212
18.16139221,14.768417221177364,23.53449535100008,9.267508989076322
18.17143821,14.723186898559966,27.367793189944166,7.920705587967434
18.18148421,14.660119312222104,25.752941042408146,8.345419573425565
18.19153021,14.616226453878689,26.02639231087512,8.208363003188738
18.20157621,14.541259568969815,33.73072786327079,6.268712335804679
18.21162321,14.431372856430157,33.39496999603027,6.236403941853097
18.22166921,14.34225807766578,30.846658848358846,6.668481269805769
18.23171521,14.264709100042142,31.60014362128014,6.439272180136437
18.24176121,14.19797546655204,30.294592616202607,6.654075527690055
18.25180721,14.129422176118968,29.682851748694404,6.725788098840053
18.26185321,14.036802915836686,29.843093563102027,6.602259101638555
18.27189921,13.934229952690968,27.314492689663055,7.108415542637899
18.28194521,13.853394333882905,28.463429367013294,6.742565419487857
18.29199121,13.778221958351024,29.873301835684426,6.354818137539061
18.30203821,13.70906738771109,28.54127833472119,6.584797164189095
18.31208421,13.641774850299852,31.617095680763843,5.885993544293109
18.32213021,13.54440873986928,33.53843652371204,5.469873587665466
18.33217621,13.442009568902318,29.740492431756266,6.0754751006586245
18.34222221,13.35341106743211,27.597834134258886,6.461144242999372
18.35226821,13.273375411630871,27.48395178311642,6.410377088724086
18.36231421,13.20487434604874,30.40285079420446,5.735274881794149
18.37236021,13.148495157819108,31.637636075406586,5.4644703701356026
18.38240621,13.099451663576785,30.78401144853463,5.574180420679152
18.39245321,13.0443835589764,31.710970498778924,5.365838375720664
18.40249921,12.98756895216319,27.340282407100762,6.169539318415557
18.41254521,12.942238688679813,26.745992205565265,6.262678198190273
18.42259121,12.880299668960811,27.47655052837764,6.037952958865383
18.43263721,12.796391423528403,25.491887260010053,6.42351944342024
18.44268321,12.709520465463092,27.588027975692107,5.855145231995248
18.45272921,12.62843800205229,28.39997422980783,5.615408136683987
18.46277521,12.559716395155407,27.17522861438413,5.804789286785933
18.47282121,12.493937408114633,28.827800552974534,5.414858884951578
18.48286688,12.432348482559865,27.64217925397826,5.591573926631123
18.49291388,12.380253553383673,24.56301039427686,6.239897943526534
18.50295988,12.318465554434587,25.074084451211174,6.051849825705663
18.51300588,12.23253086920684,29.616054276373873,5.052489776987916
18.52305188,12.131902340618451,27.859213382422013,5.283101585889346
18.53309788,12.054243023415864,20.330020929045613,7.147300800855168
18.54314388,11.983757356676634,25.75472619003889,5.576081039418904
18.55318988,11.892128490084989,23.854511487249933,5.92855234534065
18.56323587,11.820164961685807,20.166326708919346,6.928197769387016
18.57328187,11.76051022275807,23.446869995187555,5.898851348942736
18.58332888,11.67773146270313,21.177003474249524,6.439504639116055
18.59337488,11.599819542698352,24.009636467401222,5.604242013653894
18.60342088,11.54527860742541,33.96367423553066,3.924588876889873
18.61346688,11.497317433838479,29.53190046758274,4.47611925008178
18.62351288,11.459640103541439,24.36531542926591,5.389766107643279
18.63355888,11.424480351674912,24.714356540087874,5.281090409701682
18.64360488,11.394783963885375,21.45288421377945,6.05238439222176
18.65365088,11.367738502616335,16.95030827486875,7.623783388970046
18.66369687,11.310023302732619,20.275154721415944,6.309033339866005
18.67374287,11.238987554810889,23.428916417392927,5.391407737637481
18.68378988,11.183909930600636,24.203601260427412,5.167819449260699
18.69383588,11.131336911985164,21.722042279771536,5.704190234612995
18.70388188,11.075664118064312,17.90121765698399,6.852625223978473
18.71392788,11.027547227720767,19.272273785273235,6.309935154228501
18.72397388,10.985151689686411,16.6921855911536,7.229344353166903
18.73401988,10.92868694748179,17.499532792492783,6.825107836438719
18.74406588,10.859057732598233,20.3416020783161,5.796944330437072
18.75411188,10.795940393000953,18.158075216537576,6.418760115228449
18.76415788,10.742710695258832,17.81981218178076,6.476265400822863
18.77420487,10.67658458643865,17.89101138918456,6.371325575271171
18.78425088,10.606237958674047,15.761505709293395,7.137153372960416
18.79429688,10.550727304433813,14.997234632531704,7.4225581835638375
18.80434288,10.504469210174024,13.646422711853583,8.085919344389572
18.81438888,10.468118406655057,14.247743572164094,7.691147894452598
18.82443488,10.43418128122774,14.742771754061616,7.3847808828437715
18.83448088,10.393717127333062,14.352203582714813,7.527022251351188
18.84452688,10.344580225265489,12.99719299152525,8.233342392217251
18.85457288,10.293643602142668,12.747577969468896,8.31209653015735
18.86461888,10.246627457156212,11.826369833232903,8.877903847612567
18.87466587,10.206813769394454,12.76934254920956,8.158528673001184
18.88471187,10.172466294615717,10.650615198227639,9.715783416183573
18.89475788,10.151126975768307,12.144868444918997,8.484684650600865
18.90480388,10.139288548439032,12.624763393179034,8.143136553676003
18.91484988,10.119454641022044,14.304412345126151,7.158865373913372
18.92489588,10.08459522191024,15.567548809211672,6.532760040527202
18.93494188,10.053447668454265,12.979600854394402,7.786973663995946
18.94498788,10.037020517139425,11.722698605613331,8.593736327336632
18.95503388,10.01593629585116,11.384928928785639,8.81155960744755
18.96508088,9.98082125954896,11.511437825719332,8.653722890506044
18.97512687,9.939175027229052,11.045911330979326,8.943327287521797
18.98517287,9.897035319049019,10.5446519611371,9.289193087406648
18.99521888,9.845369880527166,10.926912248342,8.870878239101758
19.00526488,9.780579809966959,10.610425108181568,9.015637021496081
19.01531088,9.721732279307957,9.215537632581587,10.255731383092646
